Portál,Číslo,Název pozice,Link,Firma,Lokace,Typ úvazku,Datum inzerátu,Tag,Plat
welcometothejungle.com,14,Data Scientist (m/ž),https://www.welcometothejungle.com/cs/companies/kooperativa/jobs/data-scientist-m-z_praha_KOOPE_a2XygWr,Kooperativa,Prague,full_time,2024-08-28T01:12:57Z,,
welcometothejungle.com,15,Software Developer - Risk Data Management Services (f/m/d),https://www.welcometothejungle.com/cs/companies/dbg/jobs/software-developer-risk-data-management-services-f-m-d_prague_DBGP_xbxwO1m,Deutsche Börse Group Prague,Prague,full_time,2024-08-24T22:32:20Z,,
welcometothejungle.com,16,Data Management and Governance Specialist (f/m/d),https://www.welcometothejungle.com/cs/companies/dbg/jobs/data-management-and-governance-specialist-f-m-d_prague,Deutsche Börse Group Prague,Prague,full_time,2024-08-23T22:35:36Z,,
welcometothejungle.com,17,Data Scientist - Risk Design (f/m/d),https://www.welcometothejungle.com/cs/companies/dbg/jobs/data-scientist-risk-design-f-m-d_prague,Deutsche Börse Group Prague,Prague,full_time,2024-08-16T22:27:13Z,,
welcometothejungle.com,18,Datalake Platform Engineer,https://www.welcometothejungle.com/cs/companies/albert/jobs/datalake-platform-engineer_praha,"Albert Česká republika, s.r.o.",Prague,full_time,2024-08-01T22:08:57Z,,
welcometothejungle.com,19,Azure Data Engineer,https://www.welcometothejungle.com/cs/companies/albert/jobs/azure-data-engineer_praha,"Albert Česká republika, s.r.o.",Prague,full_time,2024-07-31T22:09:04Z,,
welcometothejungle.com,20,Database Administrator,https://www.welcometothejungle.com/cs/companies/livesport/jobs/database-administrator_prague,Livesport,Prague,full_time,2024-09-19T23:49:24Z,,
welcometothejungle.com,21,Datový analytik do týmů chatbotů,https://www.welcometothejungle.com/cs/companies/ceska-sporitelna/jobs/datovy-analytik-do-tymu-chatbotu_praha,Česká spořitelna,Prague,full_time,2024-09-25T00:28:49Z,,
welcometothejungle.com,22,AI Architect,https://www.welcometothejungle.com/cs/companies/ceska-sporitelna/jobs/ai-architect_praha,Česká spořitelna,Prague,full_time,2024-08-30T00:28:27Z,,
welcometothejungle.com,23,AI Specialista,https://www.welcometothejungle.com/cs/companies/ceska-posta/jobs/ai-specialista_usti-nad-labem,Česká pošta,Usti Nad Labem,full_time,2024-09-20T00:47:58Z,,
welcometothejungle.com,24,BI ANALYST - ESIF,https://www.welcometothejungle.com/cs/companies/raiffeisenbank/jobs/bi-analyst-esif_praha,Raiffeisenbank,Prague,full_time,2024-09-19T01:19:13Z,,
welcometothejungle.com,25,"Podpora auditů, informační bezpečnosti a ochrany dat - poloviční úvazek",https://www.welcometothejungle.com/cs/companies/mannhummel/jobs/podpora-auditu-informacni-bezpecnosti-a-ochrany-dat-polovicni-uvazek_brno,MANN+HUMMEL Service (Shared Service Centre),Brno,full_time,2024-09-17T12:20:27Z,,
fproof.eu,1,Data Scientist,https://jobs.fproof.eu/jobs/Careers/17403000007785102/Data-Scientist?source=CareerSite,,Praha 5-Smíchov,Freelance,09/09/2024,,
fproof.eu,2,Angular Developer/ka pro tým Data Insight Advisory,https://jobs.fproof.eu/jobs/Careers/17403000007720147/Angular-Developer-ka-pro-tým-Data-Insight-Advisory?source=CareerSite,,Prague,Freelance,08/29/2024,,
fproof.eu,3,Senior Data Scientist,https://jobs.fproof.eu/jobs/Careers/17403000007737001/Senior-Data-Scientist?source=CareerSite,,Prague,Permanent,09/03/2024,,
fproof.eu,4,Data Platform Engineer,https://jobs.fproof.eu/jobs/Careers/17403000007798001/Data-Platform-Engineer?source=CareerSite,,Praha,Freelance,09/10/2024,,
fproof.eu,5,Power BI Developer,https://jobs.fproof.eu/jobs/Careers/17403000007712134/Power-BI-Developer?source=CareerSite,,Praha 5-Smíchov,Contract,08/28/2024,,
fproof.eu,6,Azure Data Engineer,https://jobs.fproof.eu/jobs/Careers/17403000007763071/Azure-Data-Engineer?source=CareerSite,,,Freelance,09/05/2024,,
fproof.eu,7,DataOps Engineer (Matillion),https://jobs.fproof.eu/jobs/Careers/17403000007763006/DataOps-Engineer-Matillion?source=CareerSite,,,Freelance,09/05/2024,,
fproof.eu,8,Product Owner (Power BI platform),https://jobs.fproof.eu/jobs/Careers/17403000007359003/Product-Owner-Power-BI-platform?source=CareerSite,,Praha 2-Nové Město,Freelance,08/14/2024,,
fproof.eu,9,Senior Data Engineer (DBT+SQL),https://jobs.fproof.eu/jobs/Careers/17403000007034034/Senior-Data-Engineer-DBT-SQL?source=CareerSite,,Prague,Freelance,07/15/2024,,
fproof.eu,10,Power BI Developer,https://jobs.fproof.eu/jobs/Careers/17403000006953138/Power-BI-Developer?source=CareerSite,,Prague,Freelance,04/19/2024,,
cooljobs.eu,1,Database Developer,https://www.cooljobs.eu/cz/oracle-pl-sql/37598,,Praha,Kontrakt přes CP,,,110 000 CZK
